YDL248W	YDL248W
YDL247W-A	YDL247W-A
YDL247W	YDL247W
YDL246C	YDL246C
YDL245C	YDL245C
YDL244W	YDL244W
YDL243C	YDL243C
YDL242W	YDL242W
YDL241W	YDL241W
YDL240C-A	YDL240C-A
YDL240W	YDL240W
YDL239C	YDL239C
YDL238C	YDL238C
YDL237W	YDL237W
YDL236W	YDL236W
YDL235C	YDL235C
YDL234C	YDL234C
YDL233W	YDL233W
YDL232W	YDL232W
YDL231C	YDL231C
YDL230W	YDL230W
YDL229W	YDL229W
YDL228C	YDL228C
YDL227C	YDL227C
YDL226C	YDL226C
YDL225W	YDL225W
YDL224C	YDL224C
YDL223C	YDL223C
YDL222C	YDL222C
YDL221W	YDL221W
YDL220C	YDL220C
YDL219W	YDL219W
YDL218W	YDL218W
YDL217C	YDL217C
YDL216C	YDL216C
YDL215C	YDL215C
YDL214C	YDL214C
YDL213C	YDL213C
YDL212W	YDL212W
YDL211C	YDL211C
tG(GCC)D1	tG(GCC)D1
YDL210W	YDL210W
YDL209C	YDL209C
YDL208W	YDL208W
YDL207W	YDL207W
YDL206W	YDL206W
YDL205C	YDL205C
YDL204W	YDL204W
YDL203C	YDL203C
YDL202W	YDL202W
YDL201W	YDL201W
YDL200C	YDL200C
YDL199C	YDL199C
YDL198C	YDL198C
YDL197C	YDL197C
YDL196W	YDL196W
YDL195W	YDL195W
YDL194W	YDL194W
YDL193W	YDL193W
YDL192W	YDL192W
YDL191W	YDL191W
YDL190C	YDL190C
YDL189W	YDL189W
YDL188C	YDL188C
YDL187C	YDL187C
YDL186W	YDL186W
YDL185C-A	YDL185C-A
YDL185W	YDL185W
YDL184C	YDL184C
YDL183C	YDL183C
YDL182W	YDL182W
YDL181W	YDL181W
YDL180W	YDL180W
YDL179W	YDL179W
YDL178W	YDL178W
YDL177C	YDL177C
YDL176W	YDL176W
YDL175C	YDL175C
YDL174C	YDL174C
YDL173W	YDL173W
YDL172C	YDL172C
YDL171C	YDL171C
YDL170W	YDL170W
YDL169C	YDL169C
YDL168W	YDL168W
YDL167C	YDL167C
YDL166C	YDL166C
YDL165W	YDL165W
YDL164C	YDL164C
YDL163W	YDL163W
YDL162C	YDL162C
YDL161W	YDL161W
YDL160C-A	YDL160C-A
YDL160C	YDL160C
YDL159W-A	YDL159W-A
YDL159W	YDL159W
YDL159C-B	YDL159C-B
YDL158C	YDL158C
YDL157C	YDL157C
YDL156W	YDL156W
YDL155W	YDL155W
YDL154W	YDL154W
YDL153C	YDL153C
YDL152W	YDL152W
YDL151C	YDL151C
YDL150W	YDL150W
YDL149W	YDL149W
YDL148C	YDL148C
YDL147W	YDL147W
YDL146W	YDL146W
YDL145C	YDL145C
YDL144C	YDL144C
YDL143W	YDL143W
YDL142C	YDL142C
YDL141W	YDL141W
YDL140C	YDL140C
YDL139C	YDL139C
YDL138W	YDL138W
YDL137W	YDL137W
YDL136W	YDL136W
YDL135C	YDL135C
YDL134C	YDL134C
YDL133C-A	YDL133C-A
YDL133W	YDL133W
YDL132W	YDL132W
YDL131W	YDL131W
YDL130W-A	YDL130W-A
YDL130W	YDL130W
YDL129W	YDL129W
YDL128W	YDL128W
YDL127W	YDL127W
YDL126C	YDL126C
YDL125C	YDL125C
YDL124W	YDL124W
YDL123W	YDL123W
YDL122W	YDL122W
YDL121C	YDL121C
YDL120W	YDL120W
YDL119C	YDL119C
YDL118W	YDL118W
YDL117W	YDL117W
YDL116W	YDL116W
YDL115C	YDL115C
YDL114W-A	YDL114W-A
YDL114W	YDL114W
YDL113C	YDL113C
YDL112W	YDL112W
YDL111C	YDL111C
YDL110C	YDL110C
YDL109C	YDL109C
YDL108W	YDL108W
YDL107W	YDL107W
YDL106C	YDL106C
YDL105W	YDL105W
YDL104C	YDL104C
YDL103C	YDL103C
YDL102W	YDL102W
YDL101C	YDL101C
YDL100C	YDL100C
YDL099W	YDL099W
YDL098C	YDL098C
YDL097C	YDL097C
YDL096C	YDL096C
YDL095W	YDL095W
YDL094C	YDL094C
YDL093W	YDL093W
YDL092W	YDL092W
YDL091C	YDL091C
YDL090C	YDL090C
YDL089W	YDL089W
YDL088C	YDL088C
YDL087C	YDL087C
YDL086W	YDL086W
YDL086C-A	YDL086C-A
YDL085C-A	YDL085C-A
YDL085W	YDL085W
YDL084W	YDL084W
YDL083C	YDL083C
YDL082W	YDL082W
YDL081C	YDL081C
YDL080C	YDL080C
YDL079C	YDL079C
YDL078C	YDL078C
YDL077C	YDL077C
YDL076C	YDL076C
YDL075W	YDL075W
snR63	snR63
YDL074C	YDL074C
YDL073W	YDL073W
YDL072C	YDL072C
YDL071C	YDL071C
YDL070W	YDL070W
YDL069C	YDL069C
YDL068W	YDL068W
YDL067C	YDL067C
YDL066W	YDL066W
YDL065C	YDL065C
YDL064W	YDL064W
YDL063C	YDL063C
YDL062W	YDL062W
YDL061C	YDL061C
YDL060W	YDL060W
YDL059C	YDL059C
YDL058W	YDL058W
YDL057W	YDL057W
YDL056W	YDL056W
YDL055C	YDL055C
tK(UUU)D	tK(UUU)D
YDL054C	YDL054C
YDL053C	YDL053C
YDL052C	YDL052C
YDL051W	YDL051W
YDL050C	YDL050C
YDL049C	YDL049C
YDL048C	YDL048C
YDL047W	YDL047W
YDL046W	YDL046W
YDL045W-A	YDL045W-A
YDL045C	YDL045C
YDL044C	YDL044C
YDL043C	YDL043C
YDL042C	YDL042C
YDL041W	YDL041W
YDL040C	YDL040C
YDL039C	YDL039C
YDL037C	YDL037C
YDL036C	YDL036C
YDL035C	YDL035C
YDL034W	YDL034W
YDL033C	YDL033C
YDL032W	YDL032W
YDL031W	YDL031W
YDL030W	YDL030W
YDL029W	YDL029W
YDL028C	YDL028C
YDL027C	YDL027C
YDL026W	YDL026W
YDL025C	YDL025C
YDL025W-A	YDL025W-A
YDL024C	YDL024C
YDL022C-A	YDL022C-A
tA(AGC)D	tA(AGC)D
YDL023C	YDL023C
YDL022W	YDL022W
YDL021W	YDL021W
YDL020C	YDL020C
YDL019C	YDL019C
YDL018C	YDL018C
YDL017W	YDL017W
YDL016C	YDL016C
YDL015C	YDL015C
YDL014W	YDL014W
YDL013W	YDL013W
YDL012C	YDL012C
YDL011C	YDL011C
YDL010W	YDL010W
YDL009C	YDL009C
YDL008W	YDL008W
tT(AGU)D	tT(AGU)D
YDL007C-A	YDL007C-A
tS(AGA)D1	tS(AGA)D1
YDL007W	YDL007W
YDL006W	YDL006W
YDL005C	YDL005C
YDL004W	YDL004W
YDL003W	YDL003W
YDL002C	YDL002C
YDL001W	YDL001W
YDR001C	YDR001C
YDR002W	YDR002W
YDR003W	YDR003W
YDR003W-A	YDR003W-A
YDR004W	YDR004W
YDR005C	YDR005C
YDR006C	YDR006C
YDR007W	YDR007W
YDR008C	YDR008C
YDR009W	YDR009W
YDR010C	YDR010C
YDR011W	YDR011W
YDR012W	YDR012W
YDR013W	YDR013W
YDR014W	YDR014W
YDR014W-A	YDR014W-A
YDR015C	YDR015C
YDR016C	YDR016C
YDR017C	YDR017C
YDR018C	YDR018C
YDR019C	YDR019C
YDR020C	YDR020C
YDR021W	YDR021W
YDR022C	YDR022C
tV(UAC)D	tV(UAC)D
YDR023W	YDR023W
YDR024W	YDR024W
YDR025W	YDR025W
YDR026C	YDR026C
YDR027C	YDR027C
YDR028C	YDR028C
YDR029W	YDR029W
YDR030C	YDR030C
YDR031W	YDR031W
YDR032C	YDR032C
YDR033W	YDR033W
YDR034C	YDR034C
YDR034C-D	YDR034C-D
YDR034C-C	YDR034C-C
tL(UAA)D	tL(UAA)D
YDR034C-A	YDR034C-A
tQ(UUG)D1	tQ(UUG)D1
YDR034W-B	YDR034W-B
YDR035W	YDR035W
YDR036C	YDR036C
YDR037W	YDR037W
YDR038C	YDR038C
YDR039C	YDR039C
YDR040C	YDR040C
YDR041W	YDR041W
YDR042C	YDR042C
snR47	snR47
YDR043C	YDR043C
YDR044W	YDR044W
YDR045C	YDR045C
YDR046C	YDR046C
YDR047W	YDR047W
YDR048C	YDR048C
YDR049W	YDR049W
YDR050C	YDR050C
YDR051C	YDR051C
YDR052C	YDR052C
YDR053W	YDR053W
YDR054C	YDR054C
YDR055W	YDR055W
YDR056C	YDR056C
YDR057W	YDR057W
YDR058C	YDR058C
tR(UCU)D	tR(UCU)D
tD(GUC)D	tD(GUC)D
YDR059C	YDR059C
YDR060W	YDR060W
YDR061W	YDR061W
YDR062W	YDR062W
YDR063W	YDR063W
YDR064W	YDR064W
YDR065W	YDR065W
YDR066C	YDR066C
YDR067C	YDR067C
YDR068W	YDR068W
YDR069C	YDR069C
YDR070C	YDR070C
YDR071C	YDR071C
YDR072C	YDR072C
YDR073W	YDR073W
YDR074W	YDR074W
YDR075W	YDR075W
YDR076W	YDR076W
YDR077W	YDR077W
YDR078C	YDR078C
YDR079W	YDR079W
YDR079C-A	YDR079C-A
YDR080W	YDR080W
YDR081C	YDR081C
YDR082W	YDR082W
YDR083W	YDR083W
YDR084C	YDR084C
YDR085C	YDR085C
YDR086C	YDR086C
YDR087C	YDR087C
YDR088C	YDR088C
tR(ACG)D	tR(ACG)D
YDR089W	YDR089W
YDR090C	YDR090C
YDR091C	YDR091C
YDR092W	YDR092W
YDR093W	YDR093W
YDR094W	YDR094W
YDR095C	YDR095C
YDR096W	YDR096W
YDR097C	YDR097C
YDR098C	YDR098C
tQ(UUG)D2	tQ(UUG)D2
YDR098C-B	YDR098C-B
