1992	8.72e+08	60.223	1164.406809	Asia_India
1997	9.59e+08	61.765	1458.817442	Asia_India
2002	1034172547	62.879	1746.769454	Asia_India
2007	1110396331	64.698	2452.210407	Asia_India
1952	82052000	37.468	749.6816546	Asia_Indonesia
1957	90124000	39.918	858.9002707	Asia_Indonesia
1962	99028000	42.518	849.2897701	Asia_Indonesia
1967	109343000	45.964	762.4317721	Asia_Indonesia
1972	121282000	49.203	1111.107907	Asia_Indonesia
1977	136725000	52.702	1382.702056	Asia_Indonesia
1982	153343000	56.159	1516.872988	Asia_Indonesia
1987	169276000	60.137	1748.356961	Asia_Indonesia
1992	184816000	62.681	2383.140898	Asia_Indonesia
1997	199278000	66.041	3119.335603	Asia_Indonesia
2002	211060000	68.588	2873.91287	Asia_Indonesia
2007	223547000	70.65	3540.651564	Asia_Indonesia
1952	17272000	44.869	3035.326002	Asia_Iran
1957	19792000	47.181	3290.257643	Asia_Iran
1962	22874000	49.325	4187.329802	Asia_Iran
1967	26538000	52.469	5906.731805	Asia_Iran
1972	30614000	55.234	9613.818607	Asia_Iran
1977	35480679	57.702	11888.59508	Asia_Iran
1982	43072751	59.62	7608.334602	Asia_Iran
1987	51889696	63.04	6642.881371	Asia_Iran
1992	60397973	65.742	7235.653188	Asia_Iran
1997	63327987	68.042	8263.590301	Asia_Iran
2002	66907826	69.451	9240.761975	Asia_Iran
2007	69453570	70.964	11605.71449	Asia_Iran
1952	5441766	45.32	4129.766056	Asia_Iraq
1957	6248643	48.437	6229.333562	Asia_Iraq
1962	7240260	51.457	8341.737815	Asia_Iraq
1967	8519282	54.459	8931.459811	Asia_Iraq
1972	10061506	56.95	9576.037596	Asia_Iraq
1977	11882916	60.413	14688.23507	Asia_Iraq
1982	14173318	62.038	14517.90711	Asia_Iraq
1987	16543189	65.044	11643.57268	Asia_Iraq
1992	17861905	59.461	3745.640687	Asia_Iraq
1997	20775703	58.811	3076.239795	Asia_Iraq
2002	24001816	57.046	4390.717312	Asia_Iraq
2007	27499638	59.545	4471.061906	Asia_Iraq
1952	2952156	66.91	5210.280328	Europe_Ireland
1957	2878220	68.9	5599.077872	Europe_Ireland
1962	2830000	70.29	6631.597314	Europe_Ireland
1967	2900100	71.08	7655.568963	Europe_Ireland
1972	3024400	71.28	9530.772896	Europe_Ireland
1977	3271900	72.03	11150.98113	Europe_Ireland
1982	3480000	73.1	12618.32141	Europe_Ireland
1987	3539900	74.36	13872.86652	Europe_Ireland
1992	3557761	75.467	17558.81555	Europe_Ireland
1997	3667233	76.122	24521.94713	Europe_Ireland
2002	3879155	77.783	34077.04939	Europe_Ireland
2007	4109086	78.885	40675.99635	Europe_Ireland
1952	1620914	65.39	4086.522128	Asia_Israel
1957	1944401	67.84	5385.278451	Asia_Israel
1962	2310904	69.39	7105.630706	Asia_Israel
1967	2693585	70.75	8393.741404	Asia_Israel
1972	3095893	71.63	12786.93223	Asia_Israel
1977	3495918	73.06	13306.61921	Asia_Israel
1982	3858421	74.45	15367.0292	Asia_Israel
1987	4203148	75.6	17122.47986	Asia_Israel
1992	4936550	76.93	18051.52254	Asia_Israel
1997	5531387	78.269	20896.60924	Asia_Israel
2002	6029529	79.696	21905.59514	Asia_Israel
2007	6426679	80.745	25523.2771	Asia_Israel
1952	47666000	65.94	4931.404155	Europe_Italy
1957	49182000	67.81	6248.656232	Europe_Italy
1962	50843200	69.24	8243.58234	Europe_Italy
1967	52667100	71.06	10022.40131	Europe_Italy
1972	54365564	72.19	12269.27378	Europe_Italy
1977	56059245	73.48	14255.98475	Europe_Italy
1982	56535636	74.98	16537.4835	Europe_Italy
1987	56729703	76.42	19207.23482	Europe_Italy
1992	56840847	77.44	22013.64486	Europe_Italy
1997	57479469	78.82	24675.02446	Europe_Italy
2002	57926999	80.24	27968.09817	Europe_Italy
2007	58147733	80.546	28569.7197	Europe_Italy
1952	1426095	58.53	2898.530881	Americas_Jamaica
1957	1535090	62.61	4756.525781	Americas_Jamaica
1962	1665128	65.61	5246.107524	Americas_Jamaica
1967	1861096	67.51	6124.703451	Americas_Jamaica
1972	1997616	69	7433.889293	Americas_Jamaica
1977	2156814	70.11	6650.195573	Americas_Jamaica
1982	2298309	71.21	6068.05135	Americas_Jamaica
1987	2326606	71.77	6351.237495	Americas_Jamaica
1992	2378618	71.766	7404.923685	Americas_Jamaica
1997	2531311	72.262	7121.924704	Americas_Jamaica
2002	2664659	72.047	6994.774861	Americas_Jamaica
2007	2780132	72.567	7320.880262	Americas_Jamaica
1952	86459025	63.03	3216.956347	Asia_Japan
1957	91563009	65.5	4317.694365	Asia_Japan
1962	95831757	68.73	6576.649461	Asia_Japan
1967	100825279	71.43	9847.788607	Asia_Japan
1972	107188273	73.42	14778.78636	Asia_Japan
1977	113872473	75.38	16610.37701	Asia_Japan
1982	118454974	77.11	19384.10571	Asia_Japan
1987	122091325	78.67	22375.94189	Asia_Japan
1992	124329269	79.36	26824.89511	Asia_Japan
1997	125956499	80.69	28816.58499	Asia_Japan
